2025-03-31 19:04:29,145 [INFO] ✅ Resumed model weights from experiments/mug/pick/segnet.pth
2025-03-31 19:04:29,840 [INFO] ✅ Resumed manipulation model from experiments/mug/pick/maninet.pth
2025-03-31 20:25:33,021 [INFO] Epoch: 1, pos loss: , 0.00278608500957489, ori loss: , 0.9878300428390503
2025-03-31 20:25:34,363 [INFO] Epoch: 1, pos loss: , 0.0015624734805896878, ori loss: , 1.039583683013916
2025-03-31 20:25:34,364 [INFO] Epoch: 1,  test pos loss: , 0.09367443347582594,  test ori loss: , nan
2025-03-31 21:03:45,109 [INFO] Epoch: 2, pos loss: , 0.0016813124530017376, ori loss: , 0.5202386975288391
2025-03-31 21:03:47,195 [INFO] Epoch: 2, pos loss: , 0.001974246697500348, ori loss: , 0.46643930673599243
2025-03-31 21:03:48,869 [INFO] Epoch: 2, pos loss: , 0.008269142359495163, ori loss: , 0.5489069819450378
2025-03-31 21:03:50,018 [INFO] Epoch: 2, pos loss: , 0.0010755604598671198, ori loss: , 0.8589740991592407
2025-03-31 21:03:52,158 [INFO] Epoch: 2, pos loss: , 0.0005864726263098419, ori loss: , 0.9070308208465576
2025-03-31 21:03:52,228 [INFO] Epoch: 2, pos loss: , 0.006614185869693756, ori loss: , 0.5263943076133728
2025-03-31 21:03:54,337 [INFO] Epoch: 2, pos loss: , 0.002684609964489937, ori loss: , 0.6153185367584229
2025-03-31 21:03:56,082 [INFO] Epoch: 2, pos loss: , 0.007818344049155712, ori loss: , 0.7823472023010254
2025-03-31 21:03:57,294 [INFO] Epoch: 2, pos loss: , 0.0004364526830613613, ori loss: , 0.41097649931907654
2025-03-31 21:03:58,932 [INFO] Epoch: 2, pos loss: , 0.0005564622697420418, ori loss: , 0.3740420937538147
2025-03-31 21:03:59,963 [INFO] Epoch: 2, pos loss: , 0.005809415131807327, ori loss: , 0.940344512462616
2025-03-31 21:04:00,014 [INFO] Epoch: 2, pos loss: , 0.008110939525067806, ori loss: , 0.7126462459564209
2025-03-31 21:04:01,050 [INFO] Epoch: 2, pos loss: , 0.002626464469358325, ori loss: , 0.9705535173416138
2025-03-31 21:04:03,325 [INFO] Epoch: 2, pos loss: , 0.005410527344793081, ori loss: , 0.7906031608581543
2025-03-31 21:04:04,821 [INFO] Epoch: 2, pos loss: , 0.0024719920475035906, ori loss: , 0.6677961349487305
2025-03-31 21:04:06,293 [INFO] Epoch: 2, pos loss: , 0.0022148715797811747, ori loss: , 0.5593246221542358
2025-03-31 21:04:08,566 [INFO] Epoch: 2, pos loss: , 0.0022303229197859764, ori loss: , 0.6184014678001404
2025-03-31 21:04:09,757 [INFO] Epoch: 2, pos loss: , 0.0071684918366372585, ori loss: , 1.0240017175674438
2025-03-31 21:04:11,581 [INFO] Epoch: 2, pos loss: , 0.0024018033873289824, ori loss: , 0.9439980983734131
2025-03-31 21:04:12,937 [INFO] Epoch: 2, pos loss: , 0.0022367641795426607, ori loss: , 0.8961763381958008
2025-03-31 21:04:13,010 [INFO] Epoch: 2, pos loss: , 0.003515263320878148, ori loss: , 0.5275332927703857
2025-03-31 21:04:13,077 [INFO] Epoch: 2, pos loss: , 0.007048619911074638, ori loss: , 0.877333402633667
2025-03-31 21:04:14,945 [INFO] Epoch: 2, pos loss: , 0.0026378119364380836, ori loss: , 0.7045835852622986
2025-03-31 21:04:16,695 [INFO] Epoch: 2, pos loss: , 0.0006149971159175038, ori loss: , 0.9086611866950989
2025-03-31 21:04:18,485 [INFO] Epoch: 2, pos loss: , 0.0007171789766289294, ori loss: , 0.36860597133636475
2025-03-31 21:04:20,248 [INFO] Epoch: 2, pos loss: , 0.005462826695293188, ori loss: , 0.6786015033721924
2025-03-31 21:04:20,306 [INFO] Epoch: 2, pos loss: , 0.004809155594557524, ori loss: , 0.8358796834945679
2025-03-31 21:04:21,854 [INFO] Epoch: 2, pos loss: , 0.001388885430060327, ori loss: , 0.42198070883750916
2025-03-31 21:04:23,061 [INFO] Epoch: 2, pos loss: , 0.0007695664535276592, ori loss: , 0.4729123115539551
2025-03-31 21:04:23,125 [INFO] Epoch: 2, pos loss: , 0.003837229683995247, ori loss: , 1.0617527961730957
2025-03-31 21:04:24,688 [INFO] Epoch: 2, pos loss: , 0.0008857619832269847, ori loss: , 0.7248771786689758
2025-03-31 21:04:25,887 [INFO] Epoch: 2, pos loss: , 0.0037280272226780653, ori loss: , 0.8160073757171631
2025-03-31 21:04:28,495 [INFO] Epoch: 2, pos loss: , 0.0013355932896956801, ori loss: , 0.9259328842163086
2025-03-31 21:04:30,204 [INFO] Epoch: 2, pos loss: , 0.0002674358256626874, ori loss: , 0.46890735626220703
2025-03-31 21:04:31,684 [INFO] Epoch: 2, pos loss: , 0.0019167702412232757, ori loss: , 0.44370901584625244
2025-03-31 21:04:32,952 [INFO] Epoch: 2, pos loss: , 0.00029084025300107896, ori loss: , 0.3963035047054291
2025-03-31 21:04:34,072 [INFO] Epoch: 2, pos loss: , 0.002067720517516136, ori loss: , 0.5764945149421692
2025-03-31 21:04:35,282 [INFO] Epoch: 2, pos loss: , 0.002719608834013343, ori loss: , 0.8285049200057983
2025-03-31 21:04:36,138 [INFO] Epoch: 2, pos loss: , 0.0015466393670067191, ori loss: , 0.6403143405914307
2025-03-31 21:04:37,156 [INFO] Epoch: 2, pos loss: , 0.003116678213700652, ori loss: , 0.7028821706771851
2025-03-31 21:04:37,157 [INFO] Epoch: 2,  test pos loss: , 0.08786773006431758,  test ori loss: , nan
2025-03-31 21:43:50,631 [INFO] Epoch: 3, pos loss: , 0.0063103423453867435, ori loss: , 0.779066801071167
2025-03-31 21:43:51,829 [INFO] Epoch: 3, pos loss: , 0.0009797977982088923, ori loss: , 0.5408146381378174
2025-03-31 21:43:52,667 [INFO] Epoch: 3, pos loss: , 0.0005778046906925738, ori loss: , 0.9006077647209167
2025-03-31 21:43:53,703 [INFO] Epoch: 3, pos loss: , 0.002660169033333659, ori loss: , 0.8109042644500732
2025-03-31 21:43:53,769 [INFO] Epoch: 3, pos loss: , 0.005414118524640799, ori loss: , 0.5501410365104675
2025-03-31 21:43:54,897 [INFO] Epoch: 3, pos loss: , 0.002062420127913356, ori loss: , 0.591888427734375
2025-03-31 21:43:57,391 [INFO] Epoch: 3, pos loss: , 0.002006521448493004, ori loss: , 0.5735362768173218
2025-03-31 21:43:58,497 [INFO] Epoch: 3, pos loss: , 0.002370330272242427, ori loss: , 1.0085549354553223
2025-03-31 21:43:59,454 [INFO] Epoch: 3, pos loss: , 0.0011800117790699005, ori loss: , 0.4589567184448242
2025-03-31 21:44:00,471 [INFO] Epoch: 3, pos loss: , 0.0013778329594060779, ori loss: , 0.3972647786140442
2025-03-31 21:44:01,867 [INFO] Epoch: 3, pos loss: , 0.0021895647514611483, ori loss: , 0.7855150699615479
2025-03-31 21:44:04,240 [INFO] Epoch: 3, pos loss: , 0.0003223962557967752, ori loss: , 0.42688125371932983
2025-03-31 21:44:05,598 [INFO] Epoch: 3, pos loss: , 0.002315777586773038, ori loss: , 0.4952942430973053
2025-03-31 21:44:06,465 [INFO] Epoch: 3, pos loss: , 0.005630707833915949, ori loss: , 0.7558310627937317
2025-03-31 21:44:07,612 [INFO] Epoch: 3, pos loss: , 0.0006568909739144146, ori loss: , 0.8405157923698425
2025-03-31 21:44:08,644 [INFO] Epoch: 3, pos loss: , 0.003699801629409194, ori loss: , 0.8420675992965698
